noise_level,dataset,model,method,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,minority_recall_mean,minority_recall_std,noise_precision_deleted_mean,noise_precision_deleted_std,clean_minority_deletion_rate_mean,clean_minority_deletion_rate_std
low,pima,hgb,oracle_deletion,0.6249,0.0393,0.6226,0.0504,0.3075,0.0822,1.0,0.0,0.0,0.0
low,pima,hgb,random_deletion,0.5974,0.0488,0.5839,0.0683,0.2507,0.1009,0.0455,0.0161,0.1682,0.0305
low,pima,lr,class_proportional,0.7132,0.024,0.7233,0.0251,0.5433,0.0403,0.2,0.0437,0.05,0.019
low,pima,lr,crcc_m,0.7159,0.0185,0.7249,0.0188,0.5582,0.0375,0.1364,0.0278,0.0136,0.0203
low,pima,lr,crcc_p_l0,0.7132,0.024,0.7233,0.0251,0.5433,0.0403,0.2,0.0437,0.05,0.019
low,pima,lr,crcc_p_l025,0.7132,0.024,0.7233,0.0251,0.5433,0.0403,0.2,0.0437,0.05,0.019
low,pima,lr,crcc_p_l05,0.7132,0.024,0.7233,0.0251,0.5433,0.0403,0.2,0.0437,0.05,0.019
low,pima,lr,crcc_p_l10,0.7132,0.024,0.7233,0.0251,0.5433,0.0403,0.2,0.0437,0.05,0.019
low,pima,lr,global_top_loss,0.6034,0.0285,0.5903,0.0403,0.2388,0.0548,0.3909,0.0708,0.5636,0.0407
low,pima,lr,no_cleaning,0.6045,0.0386,0.5882,0.0592,0.2299,0.0765,0.0,0.0,0.0,0.0
low,pima,lr,oracle_deletion,0.6179,0.0336,0.6086,0.0468,0.2597,0.0705,1.0,0.0,0.0,0.0
low,pima,lr,random_deletion,0.595,0.0431,0.5721,0.0677,0.206,0.084,0.0455,0.0161,0.1682,0.0305
low,yeast,hgb,class_proportional,0.7414,0.0236,0.7381,0.0232,0.5738,0.0505,0.2055,0.0167,0.0642,0.0112
low,yeast,hgb,crcc_m,0.7565,0.0212,0.7469,0.0269,0.6098,0.0355,0.1468,0.0283,0.0275,0.0112
low,yeast,hgb,crcc_p_l0,0.7414,0.0236,0.7381,0.0232,0.5738,0.0505,0.2055,0.0167,0.0642,0.0112
low,yeast,hgb,crcc_p_l025,0.7414,0.0236,0.7381,0.0232,0.5738,0.0505,0.2055,0.0167,0.0642,0.0112
low,yeast,hgb,crcc_p_l05,0.7414,0.0236,0.7381,0.0232,0.5738,0.0505,0.2055,0.0167,0.0642,0.0112
low,yeast,hgb,crcc_p_l10,0.7414,0.0236,0.7381,0.0232,0.5738,0.0505,0.2055,0.0167,0.0642,0.0112
low,yeast,hgb,global_top_loss,0.6858,0.0372,0.7221,0.0324,0.4,0.0816,0.4073,0.0353,0.4826,0.0248
low,yeast,hgb,no_cleaning,0.6765,0.0237,0.7021,0.024,0.4033,0.05,0.0,0.0,0.0,0.0
low,yeast,hgb,oracle_deletion,0.7089,0.0233,0.7389,0.022,0.459,0.0505,1.0,0.0,0.0,0.0
low,yeast,hgb,random_deletion,0.6804,0.0476,0.7057,0.0432,0.4066,0.1077,0.0642,0.0267,0.1321,0.0545
low,yeast,lr,class_proportional,0.7551,0.0216,0.7534,0.0194,0.5934,0.0497,0.222,0.0327,0.0495,0.0154
low,yeast,lr,crcc_m,0.76,0.0249,0.7574,0.0249,0.6033,0.0524,0.1633,0.0255,0.0147,0.0105
low,yeast,lr,crcc_p_l0,0.7551,0.0216,0.7534,0.0194,0.5934,0.0497,0.222,0.0327,0.0495,0.0154
low,yeast,lr,crcc_p_l025,0.7551,0.0216,0.7534,0.0194,0.5934,0.0497,0.222,0.0327,0.0495,0.0154
low,yeast,lr,crcc_p_l05,0.7551,0.0216,0.7534,0.0194,0.5934,0.0497,0.222,0.0327,0.0495,0.0154
low,yeast,lr,crcc_p_l10,0.7551,0.0216,0.7534,0.0194,0.5934,0.0497,0.222,0.0327,0.0495,0.0154
